prcp(mm/day),tmean(C),pet(mm),flow(mm)
17.16,6.815,0.687782786,6.418713023
0,5.05,0.641754432,5.134970419
3.4,6.58,0.680981265,3.325103796
0,2.895,0.624178251,2.567485209
0,2.335,0.620796713,2.098182585
10.38,10.06,0.788813396,2.011898246
0,11.285,0.84576258,1.974017317
12.65,10.8,0.798132904,2.357035602
4.87,2.06,0.605037099,2.777934817
0,2.86,0.637390405,2.29390072
26.62,6.81,0.739652009,2.925249542
54.87,9.825,0.784337843,20.51883671
34.11,5.485,0.724145096,34.72418521
25.78,3.58,0.658726735,12.69011132
29.85,4.605,0.651665501,14.85774228
0,2.935,0.710695587,7.449916099
0,2.18,0.722343167,4.503621597
0,5.175,0.792224852,3.367193717
0,6.78,0.846901837,4.082722382
0,6.09,0.867522561,4.840340968
0,1.405,0.752735465,4.31421695
0,2.13,0.7897398,3.935407657
0,4.865,0.863458294,3.640778207
0,8.215,0.978805814,3.388238678
0,11.06,1.105766207,3.198834031
0,12.47,1.174924252,3.093609228
14.61,5.045,0.875650738,3.15674411
0,3.825,0.940854252,3.135699149
10.51,6.33,0.962715291,3.304058835
13.65,9.415,0.958009464,3.851227814
0,7.945,1.133079512,3.914362696
0,12.27,1.303194205,3.872272775
0,17.205,1.431029824,3.682868128
9.49,11.435,1.175645263,3.661823167
6.66,-0.46,0.689158701,3.72495805
6.36,-2.38,0.534583068,3.682868128
5.45,-4.875,0.584196343,3.556598364
5.88,-6.425,0.563418607,3.45137356
0,-3.73,0.879815302,3.325103796
0,-4.35,0.933121885,3.15674411
0,-4.515,0.938622648,3.030474345
0,1.11,1.205868118,2.925249542
0,4.04,1.356802154,2.841069699
6.67,8.25,1.317313469,2.777934817
33.37,14.22,1.414577335,9.133512958
28.53,13.315,1.421898321,13.30041518
10.89,10.93,1.360413184,16.62551898
14.29,3.04,0.770188033,12.14294234
20.92,1.045,0.680916061,12.14294234
2,1.85,0.903189902,15.72058567
18.12,6.065,1.039767147,13.59504463
54.01,8.845,1.216614497,23.1494568
2.53,2.74,1.189380244,18.09866623
16.1,-4.23,0.969619192,6.018858769
0,-5.475,1.14550288,3.956452618
0,-1.31,1.493277815,3.009429385
0,5.115,1.888554416,2.483305366
21.17,6.725,1.609950701,2.525395288
13.86,1.405,1.124508968,4.377351832
0,4.05,1.785696983,4.124812303
0,5.07,1.997316063,3.15674411
0,7.68,2.218446135,2.630620091
0,11.33,1.95655171,2.31494568
74.88,10.58,1.854978828,10.24889588
23.9,2.475,1.175333544,25.25395288
0,-1.385,0.758692281,9.133512958
0,-0.48,1.403441235,4.819296008
0,3.7,1.968577091,3.493463481
0,6.835,2.281487665,2.777934817
0,10.905,2.558805263,2.378080563
0,13.915,2.79549806,2.089764601
0,15.02,2.900775772,1.877210497
0,16.78,2.963521007,1.706746315
0,18.325,2.98479228,1.567849575
0,9.445,2.665127722,1.426848338
0,11.31,2.820506094,1.304787565
2.59,15.31,2.855008334,1.250070667
0.72,6.88,2.513345089,1.21639873
13.87,10.54,2.231241372,1.207980746
17.77,12.045,2.385225047,1.271115628
0,3.01,1.726572627,1.256384156
0,6.96,2.066794648,1.180622297
1.06,8.955,1.789023644,1.191144777
0,12.27,2.737455806,1.201667258
0,13.81,3.241078096,1.167995321
0,15.635,3.398648402,1.144845864
0,19.545,3.490297536,1.085919974
18.78,20.535,2.651329694,1.045934548
7.57,18.735,2.359371456,1.041725556
17.67,12.935,2.610966197,1.241652683
0,4.93,2.608150066,1.38265392
0,10.475,3.088093357,1.262697644
26.7,16.205,2.517972438,2.378080563
47.32,16.87,2.516124752,10.50143541
16.71,10.865,2.660302609,16.54133914
6.22,6.555,2.454832733,6.566027748
14.15,7.27,2.05642672,4.987655693
5.84,9.82,1.949142293,4.714071204
0.5,7.515,2.792346416,3.661823167
0,5.42,2.121989665,2.798979777
0,2.2,2.688500856,2.29390072
0,4.62,2.979934685,2.030838711
0,8.025,3.403710204,1.84353856
0,8.95,3.478682957,1.692014843
5.41,11.085,2.391685734,1.620461976
0,9.745,3.585469528,1.511028181
0,14.645,4.126236254,1.384758416
0,18.455,4.450967076,1.279533612
6.86,17.405,3.376758228,1.231130203
0,11.51,3.803469604,1.193249273
0,13.07,4.131176488,1.134323383
0,16.74,4.427733656,1.094337958
0,18.625,4.598794645,1.073292997
0,20.62,4.57077199,1.058561525
0,21.285,4.57792569,1.005949123
0,21.64,4.54441846,0.940709745
0,22.705,4.649510766,0.913351296
0,22.245,4.564717185,0.883888351
0,22.085,4.406030665,0.860738894
0,19.74,3.638035607,0.839693933
8.37,18.595,3.053728311,0.87336587
0,13.145,3.59825822,0.923873776
0,13.335,3.279496776,0.856529902
0,13.27,3.161929988,0.835484941
18.71,15.91,2.074524571,0.999635635
14.3,14.8,2.988428579,1.241652683
0,8.915,3.718719272,1.14695036
0,11.27,4.107134265,1.056457029
6.26,15.495,3.205506159,1.037516564
8.19,16.19,2.797807444,1.056457029
0,11.49,4.026145723,0.997531139
0,10.375,4.1451261,0.93229176
0,11.705,4.198914977,0.896515327
0.01,13.99,3.870389867,0.881783855
11.56,15.33,2.972265308,0.936500753
0,14.7,4.510868889,0.925978272
0,15.92,4.633006728,0.854425406
0,17.95,4.364091952,0.824962461
0,21.385,3.510982527,0.824962461
41.41,21.62,3.056893614,5.008700654
18.35,19.245,3.647387911,9.154557918
2.42,21.12,4.33966351,3.240923953
4.5,19.66,4.297918936,2.546440249
0,19.56,5.193762838,2.230765838
0,23.375,5.032793537,1.782508174
0,25.42,3.825132514,1.54890911
25.24,22.05,3.154289844,1.719373292
0,17.205,5.130061471,1.578372055
0,19.08,5.438018753,1.31320555
0,22.615,5.367210627,1.182726793
0,23.835,5.143621181,1.090128966
0,24.04,5.487879791,1.014367107
14.55,24.115,4.055250463,0.949127729
0,22.345,4.30305431,1.525759653
0,22.65,3.999311034,1.338459503
4.52,22.18,1.993005686,1.121696407
5.38,19.47,3.036914685,1.052248037
0,17.71,5.034139453,0.97017269
0,18.87,4.566221768,0.915455792
13.09,20.33,3.225322907,0.909142304
0,21.075,4.863389144,0.909142304
0,20.435,5.118867499,0.856529902
13.95,22.49,3.937702991,0.925978272
30.77,22.845,3.865588316,1.630984457
19.12,21.845,3.329688474,1.906673442
43.03,21,3.218431948,6.587072709
2.66,18.78,3.671399362,7.302601374
0,17.385,5.199694025,3.830182853
0,21.62,5.578408782,2.630620091
14.3,21.16,4.184456181,2.335990641
5.2,21.035,4.208710381,2.483305366
13.29,21.545,4.017467653,2.146585995
6.64,22.225,4.308253255,2.777934817
0,23.555,5.514695866,2.209720877
0,24.615,5.386109467,1.780403678
0,25.15,5.375773513,1.422639345
0,25.775,5.505409354,1.258488652
0,25.545,5.330737038,1.20587625
16.03,24.585,3.886118643,1.479460739
16.74,23.56,2.729967616,3.114654188
8.42,22.99,3.949467126,2.378080563
10.3,23.155,3.326890856,2.967339463
33.39,22.525,2.767430868,4.419441754
11.43,23.765,3.053825122,9.386052486
16.46,23.08,3.907299562,7.954995157
0,23.56,4.914529911,5.008700654
5.02,24.015,4.145158486,4.798251047
0,25.015,5.514065928,3.72495805
35.84,24.54,4.358354041,5.366464987
0,26.05,5.868277356,3.346148756
0,26.13,5.505126221,2.420170484
19.46,25.19,4.124608657,3.030474345
12.21,23.94,4.087195337,4.398396793
2.92,24.815,4.613756795,3.135699149
0,24.125,5.207612365,2.357035602
0,22.085,5.667253326,1.856165537
5.05,22.81,4.321618431,1.639402441
8.23,22.335,4.047485944,1.563640582
0,22.88,5.422083635,1.351086479
14.52,23.735,3.948855075,1.332146014
5.57,21.875,4.233268598,1.687805851
0,21.015,5.084992825,1.3931764
0,22.11,5.160721128,1.207980746
0,23.16,4.999054665,1.125905399
9.39,24.54,4.079212537,1.081710982
11.95,24.625,4.182114689,1.052248037
0,25.88,5.682183787,1.005949123
0,25.93,5.628981802,0.938605249
0,25.73,5.496675866,0.894410831
0,25.95,5.491995014,0.860738894
0,26.395,5.400910364,0.833380445
16.31,25.77,4.307107639,0.841798429
5.37,25.68,3.919245831,1.403698881
6.37,25.695,3.852003624,1.201667258
0,26.27,4.988560224,1.008053619
0,24.7,5.485145825,0.885992847
0,26.235,5.309832155,0.820753469
0,25.935,4.962628529,0.780768043
0,22.955,4.563742918,0.770245563
0,16.145,4.642954211,0.74499161
0,16.83,4.7617823,0.698692696
0,18.675,4.867867954,0.671334247
0,20.66,4.808168481,0.665020759
0,20.95,4.928706136,0.650289287
0,20.695,4.874888494,0.635557814
0,21.59,4.784863772,0.620826342
0,22.375,4.800489302,0.612408357
0,22.9,4.700022712,0.603990373
0,23.15,3.994533344,0.599781381
2.3,21.535,4.060527928,0.665020759
0,21.815,4.70533719,0.635557814
0,23.755,4.518185557,0.601885877
0,25.185,4.706397446,0.585049908
0,26.005,4.633497071,0.570318436
0,26.71,4.547537003,0.561900452
0,26.935,4.457135227,0.570318436
3.56,25.95,3.573524238,0.561900452
6.61,25.715,3.422516307,0.557691459
2.34,25.6,4.270633565,0.576631924
0,25.675,4.356593918,0.726051145
0,26.72,4.308517516,0.62713983
0,26.44,3.899780023,0.614512853
43.07,24.725,3.181445795,1.081710982
0,25.41,4.05722107,0.987008658
14.82,25.46,3.116097754,0.982799666
0,23.33,4.075366863,0.989113154
0,22.905,3.91437694,0.757618586
0,23.27,3.836589272,0.677647736
0,23.555,3.904210997,0.63766231
0,23.87,3.737349989,0.612408357
0,23.195,3.874814883,0.601885877
0,24.21,4.009292587,0.593467893
1.55,24.785,3.335556137,0.669229751
4.6,23.72,2.244151508,0.662916263
0,24.1,3.121475502,0.614512853
0,23.965,3.720246607,0.652393783
18.76,23.595,2.691796959,1.060666021
5.77,20.765,2.37385229,1.121696407
11.59,18.185,1.409948964,1.001740131
0,17.05,3.069852758,0.919664784
0,16.885,3.354399928,0.79339502
0,17.67,3.443618186,0.717633161
0,17.87,3.407067517,0.665020759
0,19.155,3.402454963,0.622930838
2.39,20.14,2.660784018,0.616617349
16.12,16.58,1.927253585,0.643975798
0,10.39,2.54290259,0.688170216
17.96,10.55,1.730111354,0.679752232
6.93,14.735,1.756656053,0.820753469
0,15.93,2.861850318,0.885992847
0,16.145,2.581550639,0.835484941
11.96,15.85,1.269479363,0.8039175
44.44,16.72,1.244102845,1.414221361
33.07,19.895,1.50866284,3.535553403
10.77,20.26,2.431338378,4.145857264
0,19.025,2.92541543,2.29390072
0,15.755,2.684805131,1.567849575
0,14.075,2.600699662,1.266906636
0,17.195,2.749459277,1.130114391
0,17.25,2.688377614,1.033307572
0,10.92,2.263218615,0.955441217
0,10.25,2.190041787,0.907037808
0,12.76,2.280811206,0.869156878
0,14.855,2.370206624,0.837589437
0,16.585,2.413188897,0.812335484
0,17.945,2.444468244,0.789186027
0,17.35,2.364763009,0.770245563
0,18.305,2.366513688,0.75551409
0,18.96,2.202928598,0.749200602
44.72,19.92,1.465143738,1.115382919
3.19,12.63,1.574244255,1.534177637
4.71,4.13,0.904377036,1.153263848
2.91,3.32,0.993174564,1.018576099
0,6.735,1.560064292,0.938605249
0,12.3,1.792522608,0.869156878
0,14.87,1.868420157,0.835484941
0,15.005,1.829607442,0.808126492
0,14.135,1.757291503,0.780768043
0,14.325,1.717962269,0.761827578
0,13.5,1.633064322,0.742887114
0,13.78,1.626827325,0.711319673
0,13.655,1.57105486,0.698692696
0,14.51,1.567597638,0.690274712
5.11,13.78,1.26518809,0.690274712
0,6.2,1.138872692,0.690274712
0,7.515,1.124711204,0.690274712
0,5.23,1.075559235,0.683961224
0,4.23,1.055275944,0.673438743
0,8.805,1.186112402,0.669229751
22.54,15.84,1.122799675,0.717633161
6.56,16.29,1.09401027,0.894410831
23.2,17.92,1.086469147,1.403698881
0.15,10.965,1.164660665,2.378080563
0,9.155,1.095431809,1.809866623
0,11.785,1.161802722,1.388967408
0,14.865,1.219053397,1.207980746
0,14.395,1.182413754,1.096442454
20.71,15.665,1.105440911,1.25427966
23.56,15.75,1.049845408,3.45137356
19.93,10.65,0.927799637,6.208263416
0,-1.37,0.665818565,4.187947186
0,1.745,0.745501658,2.609575131
0,5.75,0.826776511,1.946658868
0,9.895,0.908875338,1.59731252
0,11.385,0.965241633,1.416325857
14.25,6.595,0.751187307,1.321623534
23.1,1.78,0.620755236,1.574163063
0,-0.38,0.632399943,1.652029417
0,4.905,0.740478185,1.439475314
0,11.075,0.886953022,1.332146014
1.24,15.32,0.9680311,1.245861675
0,14.525,0.978650595,1.176413305
0,1.805,0.643627031,1.096442454
0,-0.065,0.594273737,1.02909858
0,2.915,0.640712717,0.98069517
0,4.255,0.652111577,0.936500753
0,0.685,0.578806692,0.902828815
0,-1.825,0.521654457,0.87336587
0,5.385,0.632983969,0.860738894
0,11.135,0.804270243,0.85232091
0,9.69,0.723428957,0.841798429
8.03,1.305,0.550188751,0.841798429
9.27,-1.855,0.463879662,0.864947886
0,-1.16,0.489237158,0.864947886
0.78,2.215,0.582303477,0.841798429
4.01,0.22,0.535251423,0.841798429
0,-6.485,0.422171612,0.833380445
0,-4.015,0.460505747,0.808126492
0,-1.105,0.498987863,0.812335484
0,-9.76,0.362908907,0.818648972
0.01,-9.44,0.364188599,0.791290524
0,-5.695,0.432622037,0.782872539
8.91,-4.155,0.451309956,0.797604012
0,-6.83,0.412524124,0.833380445
0,-8.695,0.384514154,0.810230988
0,-16.135,0.278426671,0.742887114
0,-18.34,0.24208485,0.763932075
0,-14.47,0.301702037,0.881783855
0,-7.805,0.401227174,0.79339502
0,-2.82,0.491493488,0.776559051
0,3.195,0.592774241,0.761827578
0,3.2,0.527300055,0.759723082
0,4.94,0.593925473,0.747096106
19.22,11.22,0.722652975,0.925978272
43.01,8.93,0.734684886,6.481847905
0,2.005,0.600643494,9.175602879
0,1.38,0.601191153,4.124812303
0,4.34,0.669069074,2.777934817
23.41,10.455,0.803662949,3.072564267
0,7.715,0.77142541,4.377351832
0.35,4.335,0.655963508,3.198834031
0,4.72,0.6867261,2.546440249
7.74,5.365,0.682707889,2.209720877
0,7.345,0.790029139,2.007689254
0,6.99,0.753776867,1.780403678
0,8.46,0.811690282,1.593103527
0,6.9,0.774275362,1.443684306
0,-1.3,0.604370465,1.315310046
0,1.745,0.671118717,1.218503226
0,7.56,0.848796307,1.155368344
0,11.375,0.96662173,1.104860438
0,13.625,1.065707855,1.083815478
14.41,12.965,0.927044792,1.296369581
3.31,8.51,0.871539898,1.359504463
18.79,10.785,0.937670503,1.281638109
4.7,7.34,0.898575344,2.798979777
0,3.83,0.838872955,2.967339463
0,6.82,0.935317032,2.399125523
0,8.93,0.990654979,2.066615144
6.26,8.61,0.888892625,1.862479025
0,1.73,0.840383428,1.685701355
0,5.295,0.971298594,1.517341669
0,8.125,1.066973322,1.367922448
28.46,6.61,0.914268174,1.578372055
0,1.94,0.921446962,2.567485209
0,4.07,1.008278643,2.441215445
0,8.505,1.166047804,2.096078089
18.76,15.585,1.179202381,2.209720877
51.52,15.1,1.182559539,16.43611433
43.54,10.615,1.161470333,48.61385929
0,3.52,1.057170224,16.20461976
0,6.6,1.209484889,5.492734751
1.12,7.675,1.213080302,3.893317735
0,8.44,1.339335805,3.072564267
0,11.08,1.43429241,2.630620091
45.53,10.43,1.244186485,11.17487415
0,6.675,1.351224594,11.74308809
0,8.78,1.465077151,5.324375065
0,12.325,1.646857438,3.788092932
0,16.17,1.444907775,3.030474345
10.29,17.13,1.099608543,2.567485209
17.07,15.165,1.251168483,3.872272775
0,6.1,1.475429096,4.714071204
0,4.23,1.320004792,3.198834031
0.01,6.175,1.417675809,2.651665052
0,6.27,1.572157557,2.31494568
0,6.55,1.623092012,2.028734215
6.08,11.555,1.514745014,1.976121813
0,10.22,1.787096519,1.887732978
0,3.77,1.329269104,1.675178874
0,1.025,1.436278973,1.492087716
0,0.715,1.377453205,1.38265392
0,8.625,1.911391483,1.315310046
0,11.64,1.992894367,1.271115628
6.6,6.155,1.271819293,1.241652683
17.46,4.25,0.831573804,1.355295471
10.56,4.34,1.350047938,1.788821662
0,5.555,1.94865255,1.910882434
0,6.66,2.043136968,1.765672205
0,10.02,2.289683669,1.654133914
0,11.715,2.357840034,1.569954071
24.29,11.31,1.444003364,1.90246445
21.21,11.27,1.353843537,4.629891361
11.97,16.27,1.840055766,5.871544044
0,18.64,2.826664615,4.103767343
0,19.9,2.646712907,3.114654188
0,17.855,2.800102146,2.546440249
0,19.42,2.993020068,2.272855759
24.31,17.785,2.212632223,2.756889856
30.54,11.885,1.416877557,10.12262611
3.65,9.755,1.931720982,7.870815314
0,8.86,2.53360134,4.735116165
0,9.115,2.651125944,3.472418521
0,1.71,1.930359128,2.777934817
0,3.625,2.376380137,2.378080563
0,9.66,2.873504896,2.146585995
0,13.365,2.966805696,1.946658868
0,11.5,2.689116744,1.788821662
0.29,6.405,2.020944643,1.670969882
0,5.255,1.966175315,1.553118102
0,3.51,2.480071496,1.443684306
0,8.55,2.829527771,1.348981983
3.1,12.81,1.77862996,1.319519038
6.48,13.895,1.701649656,1.302683069
5.66,14.885,2.336350356,1.43105733
0,15.545,3.414288974,1.31320555
2.99,14.76,2.934122582,1.20587625
0,9.305,2.963086205,1.142741368
0,6.825,3.08274826,1.111173927
0,10.4,3.46712264,1.090128966
14.8,10.15,2.730869505,1.117487415
0.76,2.665,2.555064948,1.189040281
0,5.425,3.043858635,1.121696407
0,9.38,3.485265532,1.069084005
8.74,13.955,3.034052824,1.064875013
12.03,10.725,2.52375507,1.09854695
0,5.795,2.993753313,1.08802447
0,7.865,3.297576397,1.052248037
0,11.37,3.306635754,1.037516564
1.5,12.105,2.740049933,1.037516564
0,14.595,3.418168968,1.037516564
7.36,14.245,3.018515896,1.043830052
3.94,9.56,3.179792705,1.094337958
0,11.875,3.686374118,1.058561525
0,16.445,3.44623054,1.026994084
41.28,17.35,2.650682053,2.777934817
16.3,17.68,3.298208874,4.756161125
0,18.885,4.62771605,2.841069699
0,20.22,4.768864895,2.146585995
0,20.21,4.623862227,1.816180111
0,19.165,4.616634849,1.620461976
0,19.685,4.400334534,1.456311283
17.36,18.275,3.370215424,1.391071904
5.86,14.765,3.621285895,1.37213144
